Name: CCTV-1, URL: http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$订阅源, Date: None, Delay: 339 ms, Speed: 0.05 M/s, Resolution: None
Name: 安徽卫视, URL: http://116.117.105.236:8096/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 474 ms, Speed: 0.04 M/s, Resolution: 720x576
Name: 安徽卫视, URL: http://116.117.105.71:8096/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 705 ms, Speed: 0.05 M/s, Resolution: 720x576
Name: 安徽卫视, URL: http://116.117.105.96:8096/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 368 ms, Speed: 0.03 M/s, Resolution: 720x576
Name: 安徽卫视, URL: http://116.117.106.154:8096/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 280 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://116.117.106.117:8096/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 352 ms, Speed: 0.03 M/s, Resolution: None
Name: 安徽卫视, URL: http://116.117.106.13:8096/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 257 ms, Speed: 0.03 M/s, Resolution: 720x576
Name: 安徽卫视, URL: http://116.117.106.246:8096/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1263 ms, Speed: 0.03 M/s, Resolution: 720x576
Name: 安徽卫视, URL: http://113.118.15.210:808/hls/40/index.m3u8$订阅源, Date: None, Delay: 115 ms, Speed: 0.01 M/s, Resolution: 720x576
Name: 安徽卫视, URL: http://123.52.15.235:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 746 ms, Speed: 0.08 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://116.117.104.248:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 257 ms, Speed: 0.20 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://42.238.235.104:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 471 ms, Speed: 0.26 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://101.66.199.60:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, Date: None, Delay: 986 ms, Speed: 0.16 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://61.156.228.12:8154/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 266 ms, Speed: 0.03 M/s, Resolution: None
Name: 安徽卫视, URL: http://123.130.84.106:8154/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 678 ms, Speed: 0.02 M/s, Resolution: None
Name: 安徽卫视, URL: http://124.128.73.58:9901/tsfile/live/0130_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 249 ms, Speed: 0.15 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://120.55.49.231:3095/rtp/233.50.201.113:5140$浙江电信组播源, Date: 2024-03-02, Delay: 146 ms, Speed: 0.07 M/s, Resolution: None
Name: 安徽卫视, URL: http://113.57.20.158:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 734 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://111.160.17.2:59901/tsfile/live/0001_32.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 234 ms, Speed: 0.02 M/s, Resolution: None
Name: 安徽卫视, URL: http://livetv.wqwqwq.sbs/itv/1000000001000030159.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1331 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://dsm.huarunguoji.top:35455/itv/1000000005000265025.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 393 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://2000.run:35455/itv/1000000005000265025.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 496 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://113.101.119.26:8090/hls/509/index.m3u8$订阅源, Date: None, Delay: 233 ms, Speed: 0.41 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://110.80.17.38:9901/tsfile/live/0130_2.m3u8$订阅源, Date: None, Delay: 265 ms, Speed: 0.07 M/s, Resolution: None
Name: 安徽卫视, URL: http://iptv.0564.org:35455/itv/1000000005000265025.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 978 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://113.195.45.95:9901/tsfile/live/0130_2.m3u8?key=txiptv&playlive=0&authid=0$订阅源, Date: None, Delay: 653 ms, Speed: 0.94 M/s, Resolution: 720x576
Name: 安徽卫视, URL: http://101.66.198.121:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, Date: None, Delay: 235 ms, Speed: 0.06 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://101.66.198.191:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, Date: None, Delay: 385 ms, Speed: 0.42 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://101.66.199.239:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, Date: None, Delay: 638 ms, Speed: 0.21 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://61.136.172.236:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 419 ms, Speed: 0.01 M/s, Resolution: None
Name: 安徽卫视, URL: http://175.11.75.126:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源, Date: None, Delay: 242 ms, Speed: 2.07 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://175.9.75.222:8088/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://183.215.211.219:9998/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源, Date: None, Delay: 484 ms, Speed: 1.80 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://175.9.75.108:9998/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源, Date: None, Delay: 240 ms, Speed: 0.20 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://139.196.151.191:2051/rtp/239.45.1.120:5140$上海电信组播源, Date: 2024-03-01, Delay: 403 ms, Speed: 0.09 M/s, Resolution: None
Name: 安徽卫视, URL: http://221.2.148.205:8154/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 349 ms, Speed: 0.20 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://183.94.1.118:8801/tsfile/live/0130_1.m3u8$订阅源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://58.220.219.14:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 771 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://4330413.xyz:35455/itv/1000000005000265025.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1430 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://118.248.216.53:8088/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://183.94.146.109:2222/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://mom.cloudns.be:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://221.233.192.152:1111/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://59.173.183.242:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://58.48.5.186:1111/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://113.220.234.101:9999/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://220.249.114.102:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://42.48.50.232:9002/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://59.173.243.210:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://49.234.31.101:7004udp://@224.9.2.67:5000$北京酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://58.48.37.158:1111/tsfile/live/0130_2.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://58.19.38.162:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|, Date: None, Delay: 223 ms, Speed: 1.11 M/s, Resolution: 720x576
Name: 安徽卫视, URL: http://113.218.204.28:8081/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://113.218.190.140:8081/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://113.220.235.19:9999/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://58.19.244.92:1111/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://202.168.187.221:9999http://i2.ekesh.cn:4001/rtp/239.12.21.23:10001$广东酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://106.55.164.46:9901http://192.168.0.8/newlive/live/hls/24/live.m3u8$北京酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://58.19.133.144:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000035$湖北酒店源|, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://81.71.102.84:9901http://112.89.121.23:80/PLTV/88888973/224/3221225759/10000100000000060000000000335582_0.smil/01.m3u8?fmt=ts2hls,504,01.m3u8,0,7821,0,0&accountinfo=Wti4h1vlszvIgmJ2Rn+JT30YqhIlb959YafU65xwPQuFI6KpBBcFipVQNWSpm9U4cljBwkAKGt2Lq1W8IgjWjgzcX+uhk0/ut3dCvLMCownaXORvs82loJOdygBQl/hA:20181110091937,END&GuardEncType=2$北京酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://81.70.56.134:9901http://192.168.40.253:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0$北京酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://124.228.160.90:9901http://39.134.247.56:80/wh7f454c46tw2830726457_-364403189/180000001002/00000001000000000016000000007224/main.m3u8?$湖南酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://110.53.21.30:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://116.231.105.111:8888/rtp/239.45.1.120:5140$上海电信组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://218.1.184.236:4022/rtp/239.45.1.120:5140$上海电信组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://222.70.185.85:9898/rtp/239.45.1.120:5140$上海电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://180.173.166.204:8888/rtp/239.45.1.120:5140$上海电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.95.213.192:3333/rtp/239.45.1.120:5140$上海电信组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://218.1.187.224:8888/rtp/239.45.1.120:5140$上海电信组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://61.173.144.157:9901/rtp/239.45.1.120:5140$上海电信组播源, Date: 2024-12-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.95.156.205:4022/rtp/239.45.1.120:5140$上海电信组播源, Date: 2024-12-26, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://101.93.223.15:6666/rtp/239.45.1.120:5140$上海电信组播源, Date: 2024-12-26, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://222.219.183.103:8089/rtp/239.200.200.37:8212$云南电信组播源, Date: 2024-11-24, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://112.114.137.58:888/rtp/239.200.200.37:8212$云南电信组播源, Date: 2025-01-02, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://112.114.137.80:888/rtp/239.200.200.37:8212$云南电信组播源, Date: 2024-09-28, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://220.164.192.48:50085/rtp/239.200.200.37:8212$云南电信组播源, Date: 2024-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://112.114.137.93:888/rtp/239.200.200.37:8212$云南电信组播源, Date: 2024-12-09, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://1.183.139.254:9001/rtp/239.29.0.81:5000$内蒙古电信组播源, Date: 2024-11-02, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://1.183.141.194:8001/rtp/239.29.0.81:5000$内蒙古电信组播源, Date: 2024-06-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://221.199.193.157:9901/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-12-27, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://110.7.129.204:8096/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-12-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://116.117.106.42:8096/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-12-02, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://1.25.136.159:8888/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://1.24.190.90:1080/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://110.7.130.91:8096/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-12-25, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://116.117.104.242:8096/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-12-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://110.7.130.44:8096/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-11-17, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://110.7.130.51:8096/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-12-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://110.7.128.156:8096/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-10-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://110.7.128.110:8096/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2024-11-27, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://116.115.137.244:4022/rtp/239.125.1.173:4130$内蒙古联通组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://115.171.216.178:4000/rtp/225.1.8.135:8272$北京电信组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://115.171.216.181:4000/rtp/225.1.8.135:8272$北京电信组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.240.224.31:3000/rtp/239.3.1.211:8064$北京联通组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://111.199.1.111:8686/rtp/239.3.1.211:8064$北京联通组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.249.211.180:8888/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-12-15, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.253.57.101:10000/rtp/239.3.1.211:8064$北京联通组播源, Date: 2025-01-01, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://111.193.237.232:8888/rtp/239.3.1.211:8064$北京联通组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://123.113.248.213:8012/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-12-09, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://123.113.237.161:8888/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-12-21, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://124.64.8.47:8888/rtp/239.3.1.211:8064$北京联通组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://111.196.191.248:5555/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-11-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://123.113.187.204:8000/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-10-25, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.252.236.205:8000/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-12-27, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.243.110.0:4000/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-12-07, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://111.196.135.75:8686/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-11-17, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.243.107.197:8888/rtp/239.3.1.211:8064$北京联通组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://221.220.130.34:9999/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-10-11, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://221.222.162.206:8888/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-12-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://111.196.129.152:20000/rtp/239.3.1.211:8064$北京联通组播源, Date: 2024-12-15, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://175.31.21.146:4480/rtp/239.37.0.046:5540$吉林电信组播源, Date: 2024-01-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.217.133.6:4022/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.212.254.157:9999/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.213.139.118:19999/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.213.140.99:8123/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-01, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://222.211.163.74:8888/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.213.140.54:8123/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-01, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.213.133.55:8000/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.221.34.66:8888/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://222.211.139.178:55555/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://182.149.98.239:55555/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://222.212.72.181:8888/rtp/239.93.1.106:5140$四川电信组播源, Date: 2025-01-01, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.213.139.211:19999/rtp/239.93.1.106:5140$四川电信组播源, Date: 2024-12-28, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://171.213.133.96:19999/rtp/239.93.1.106:5140$四川电信组播源, Date: 2024-12-28, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://60.26.2.88:7000/rtp/225.1.1.127:5002$天津联通组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://111.165.217.44:50000/rtp/225.1.1.127:5002$天津联通组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://218.69.142.73:4022/rtp/225.1.1.127:5002$天津联通组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://111.167.149.233:4022/rtp/225.1.1.127:5002$天津联通组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://125.38.229.86:8888/rtp/225.1.1.127:5002$天津联通组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://117.13.24.126:4022/rtp/225.1.1.127:5002$天津联通组播源, Date: 2025-01-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://60.29.124.66:6080/rtp/225.1.1.127:5002$天津联通组播源, Date: 2024-01-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://117.57.78.115:8888/rtp/238.1.78.150:7072$安徽电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://223.240.180.139:8888/rtp/238.1.78.150:7072$安徽电信组播源, Date: 2024-12-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://117.67.171.248:4022/rtp/238.1.78.150:7072$安徽电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://183.166.209.39:4000/rtp/238.1.78.150:7072$安徽电信组播源, Date: 2025-01-02, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://114.99.158.229:8686/rtp/238.1.78.150:7072$安徽电信组播源, Date: 2024-12-31, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://60.168.95.220:8888/rtp/238.1.78.150:7072$安徽电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://223.241.247.214:9901/rtp/238.1.78.150:7072$安徽电信组播源, Date: 2024-02-07, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://61.190.129.195:8686/rtp/238.1.78.150:7072$安徽电信组播源, Date: 2024-02-02, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://144.255.40.31:4022/rtp/239.21.1.159:5002$山东电信组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://139.129.231.228:50060/rtp/239.21.1.159:5002$山东电信组播源, Date: 2024-02-06, Delay: 260 ms, Speed: 0.10 M/s, Resolution: None
Name: 安徽卫视, URL: http://58.57.40.22:9901/rtp/239.21.1.159:5002$山东电信组播源, Date: 2024-02-07, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 安徽卫视, URL: http://47.104.102.192:80/rtp/239.21.1.159:5002$山东电信组播源, Date: 2024-04-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
